년월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
2015-11,1140,231,89,132,181,27,44,10,291,80,28,139,34,282,145,421,2263,5537
2015-10,1120,231,77,119,172,27,31,10,281,79,25,134,30,277,145,411,2133,5302
2015-09,1080,224,63,118,158,27,26,10,259,78,24,133,30,273,149,398,1953,5003
2015-08,1010,207,39,108,146,26,22,9,239,75,22,132,24,268,144,377,1687,4535
2015-07,961,173,32,103,139,26,21,8,217,69,21,131,24,264,142,364,1422,4117
2015-06,909,132,30,98,141,26,20,8,211,65,19,133,21,258,135,358,1233,3797
2015-05,903,122,28,94,143,26,20,7,191,57,17,122,21,235,124,349,932,3391
2015-04,906,113,27,92,144,25,20,7,185,56,16,121,20,226,117,296,870,3241
2015-03,878,113,28,101,145,24,20,7,182,53,16,120,18,179,110,284,844,3122
2015-02,866,113,25,102,133,24,19,7,176,43,16,120,18,174,108,282,850,3076
2015-01,832,112,23,103,125,24,19,7,170,43,16,118,18,175,110,282,832,3009
